Évelette_X	Évelettoise_N	Évelettois_N	évelettois_A
Trassanelois_N	Trassanel_X	trassaneloise_A	trassanelois_A	Trassaneloise_N
Chamoux_X	Chamoutine_N	chamoutin_A	Chamoutin_N	chamoutine_A
inapprécier_V	inappréciable_A
chabriote_A	chabriot_A	Chabris_X	Chabriote_N	Chabriot_N
Hiermontois_N	hiermontois_A	hiermontoise_A	Hiermont_X	Hiermontoise_N
Moulisaise_N	moulisais_A	moulisaise_A	Moulisais_N	Moulis_X
aoul_N	aïl_N	Caucasenocat_X
croisienne_A	Croisien_N	Croix_X	Croisienne_N	croisien_A
cabrienne_A	Cabrien_N	cabrien_A	Cabrienne_N	Cabris_X
fucoldcurtissien_A	Fucoldcurtissien_N	Fucoldcurtissienne_N	Faucoucourt_X	fucoldcurtissienne_A
ceneviérois_A	ceneviéroise_A	Ceneviéroise_N	Ceneviérois_N	Cénevières_X
Iguerandais_N	Iguerande_X	iguerandaise_A	iguerandais_A	Iguerandaise_N
pélagique_A	pélagos_N	abyssopélagique_A	mésopélagique_A	pélagophyte_N	hadopélagique_A	bathypélagique_A	épipélagique_A
Trayenne_N	trayen_A	trayenne_A	Trayen_N	Trayes_X
romilléen_A	Romilléen_N	Romilléenne_N	Romillé_X	romilléenne_A
beugnâtroise_A	beugnâtrois_A	Beugnâtrois_N	Beugnâtroise_N	Beugnâtre_X
Amou_X	amolloise_A	Amollois_N	Amolloise_N	amollois_A
vulcanologue_N	stratovolcan_N	vulcanologie_X	vulcanisme_N	volcanique_A	volcanien_X	vulcanite_N	vulcanisation_X	volcanologue_N	volcanologie_N	volcaniser_V	vulcanien_A	vulcanisé_A	cryovolcanisme_X	volcanite_N	vulcanique_A	vulcaniste_N	volcanologique_A	volcaniste_N	volcanisme_N	volcan_N	cryovolcan_N	vulcaniser_V	volcanicité_N
Roussillon_X	roussillonnais_A	Roussillonnaise_N	Roussillonnais_N
saulnien_A	Saulnien_N	Saulnienne_N	saulnienne_A	Saulny_X
bellencombraise_A	Bellencombre_X	bellencombrais_A	Bellencombrais_N	Bellencombraise_N
métissien_X	Mitis_X	mitissien_X	Mitissien_N	Métissien_N
bénesvillais_A	Bénesvillais_N	Bénesville_X	Bénesvillaise_N	bénesvillaise_A
cindréen_A	Cindré_X	Cindréen_N	Cindréenne_N	cindréenne_A
hauvillaise_A	Hauvillaise_N	Hauville_X	hauvillais_A	Hauvillais_N
afrothérien_N	laurasiathérien_N	euthérien_N	thérien_N	protothérien_N
allériotois_A	Allériotoise_N	Allériotois_N	Allériot_X	allériotoise_A
Rochechouartaise_N	rochechouartaise_A	Rochechouart_X	Rochechouartais_N	rochechouartais_A
Golleville_X	Gollevillais_N	gollevillais_A	Gollevillaise_N	gollevillaise_A
bornille_N	borniller_V
Montlignonnaise_N	Montlignonnais_N	Montlignon_X	montlignonnaise_A	montlignonnais_A
noalhatois_A	Noalhatois_N	Noalhatoise_N	Noalhat_X
reloger_V	relogement_N
Vomécourtois_N	Vomécourt_X	Vomécourtoise_N	vomécourtois_A	vomécourtoise_A
civadierfr_X	civadièrefr_X	civade_N
champinoise_A	champinois_A	Champinoise_N	Champinois_N	Champis_X
démeublement_N	démeubler_V
Zanzibari_X	zanzibarien_A	zanzibari_A	TanzanieTan'''zan'''ie_X	Zanzibarien_N	zanzibarite_A	Zanzibarie_X	Zanzibarienne_N	Zanzibar_X
occasion_X	occase_A
Cherrueix_X	chérullaise_A	chérullais_A	Chérullaise_N	Chérullais_N
Villelouptière_N	villelouptier_A	villelouptière_A	Villeloup_X	Villelouptier_N
macoutisme_X	macoute_N
Sénerguaise_N	sénerguaise_A	Sénergues_X	Sénerguais_N	sénerguais_A
Néretois_N	Néretoise_N	néretois_A	Néret_X	néretoise_A
Bouillantaise_N	bouillantais_A	Bouillante_X	Bouillantais_N	bouillantaise_A
fendiller_V	fendillementfr_X
rebronzerfrrebronzer_X	bronzéfrbronzé_X	bronzagefrbronzage_X	bronzeur_N	autobronzantfrautobronzant_X	bronzeurfrbronzeur_X	bronzant_A	bronzettefrbronzette_X	bronzage_N	bronze_X	débronzerfrdébronzer_X	bronzer_V	bronzablefrbronzable_X
Parmesan_X	parmesan_X	parme_N	Parme_X
factoriel_A	factorialisation_X	bifactoriel_A	multifactoriel_A	factorialiser_V	factorialité_N	factorielle_N
Bajamontais_N	Bajamontaise_N	bajamontais_A	Bajamont_X	bajamontaise_A
peyrestortencque_A	Peyrestortes_X	peyrestortenc_A	Peyrestortenc_N	Peyrestortencque_N
imparisyllabe_A	parisyllabique_A
Flavinois_N	flavinoise_A	Flavinoise_N	flavinois_A	Flavin_X
Tersannaud_N	Tersannes_X	tersannaude_A	tersannaud_A	Tersannaude_N
Mouxois_N	Mouxoise_N	Moux_X	mouxoise_A	mouxois_A
Frontonnaise_N	Frontonnais_N	Fronton_X	frontonnais_A
phlycténoïdefr_X	phlyctène_N
herméneutique_A	herméneutiquement_D
créner_V	crénerie_N	crénage_N	créneur_N
durmenachoise_A	Durmenach_X	Durmenachoise_N	durmenachois_A	Durmenachois_N
Rumegeoise_N	rumegeois_A	Rumegeois_N	rumegeoise_A	Rumegies_X
Belleserrien_N	Belleserrienne_N	belleserrien_A	Belleserre_X
radioaltimètre_N	altimètre_N	altitude_X	altimétrie_N	altimétrique_A
Gosselienne_N	Gosselien_N	Gosselies_X	gosselien_A
refansubber_V	fansubber_V
intéroception_N	intéroceptivité_X	intéroceptif_A
Kernilisien_N	Kernilisienne_N	Kernilis_X	kernilisien_A
thiouvillais_A	Thiouville_X	thiouvillaise_A	Thiouvillaise_N	Thiouvillais_N
reconvoiter_V	convoiteur_N	convoiteux_A	convoiter_V	convoiteuse_A	convoitise_N
Ytracoise_N	Ytrac_X	ytracois_A	Ytracois_N	ytracoise_A
Courtelevanais_N	courtelevanaise_A	Courtelevant_X	courtelevanais_A	Courtelevanaise_N
Espinas_X	espinasaise_A	Espinasais_N	espinasais_A	Espinasaise_N
Carlucetois_N	carlucetoise_A	Carlucet_X	Carlucetoise_N	carlucetois_A
Hénanbihannaise_N	Hénanbihannais_N	Hénanbihen_X	hénanbihannais_A
Villebourgeois_N	Villebourg_X	villebourgeois_A	Villebourgeoise_N	villebourgeoise_A
schmilblickement_X	schmilblick_N
Bapalmoise_N	Bapalmois_N	bapalmoise_A	Bapaume_X	bapalmois_A
opilatif_A	opilerfr_X
Cavan_X	cavannais_A	Cavannais_N	Cavannaise_N
Césarchaise_N	césarchais_A	césarchaise_A	Césarchais_N	Césarches_X
chavannier_A	Dechavanne_X	Chavannes_X	Chavannier_N	Chavanne_X	chavannais_A	Chavannière_N	Chavannais_N	chavannaise_A	Chavannaise_N	chavannière_A	Deschavannes_X
équiluminant_A	isoluminant_A	luminant_A
saisonnologie_N	saisonnologue_X
bouchonnaise_A	Bouchon_X	Bouchonnais_N	Bouchonnaise_N	bouchonnais_A
Millassoise_N	millassois_A	Millassois_N	Millas_X	millassoise_A
ferrensacois_A	Ferrensac_X	Ferrensacoise_N	Ferrensacois_N	ferrensacoise_A
Charnien_N	Charny_X	charnien_X	Charnicois_N	Charnycois_N	charnicois_A	charnycois_A
Mignaultoise_N	Mignault_X	Mignaultois_N	mignaultois_A
Montallionoise_N	montallionois_A	Montallionois_N	montallionoise_A	Montaillou_X
vatilieuroise_A	vatilieurois_A	Vatilieuroise_N	Vatilieurois_N	Vatilieu_X
néacais_A	Néacaise_N	néacaise_A	Néacais_N	Néac_X
phytomérisation_N	phytomère_N
Honnelloise_N	honnellois_A	Honnelles_X	Honnellois_N
Seneçais_N	Seneçaise_N	Senez_X	sénezienne_A	seneçais_A	seneçaise_A	sénezien_A	Sénezien_N	Sénezienne_N
Wicrois_N	Wicroise_N	wicrois_A	wicroise_A	Wicres_X
mactre_N	mactridé_X	mactracé_X
Trémolacoise_N	Trémolat_X	trémolacois_A	trémolacoise_A	Trémolacois_N
Cantillacoise_N	Cantillacois_N	cantillacois_A	Cantillac_X
Cornouaillais_N	cornique_N	Cornique_N	cornouaillais_A	Cornouailles_X	Cornouaille_X
Jaucourtois_N	jaucourtoise_A	jaucourtois_A	Jaucourt_X	Jaucourtoise_N
Lageonais_N	Lageon_X	lageonaise_A	lageonais_A	Lageonaise_N
Camièrois_N	Camièroise_N	camièrois_A	camièroise_A	Camiers_X
entaille_N	rentailler_V	entailler_V	réentailler_V	entaillure_N
séminothèque_N	grainothèque_N
Brestot_X	brestotois_A	brestotoise_A	Brestotois_N	Brestotoise_N
Blæsheimois_N	Blæsheimoise_N	Blæsheim_X	blæsheimois_A
aspicfr_X	aspidium_N
Juzennecourt_X	Juzennecourtois_N	juzennecourtoise_A	Juzennecourtoise_N	juzennecourtois_A
chatellussien_A	chatellussienne_A	Castellucien_N	Châtelus_X	châteludaire_A	Châteludaire_N	castellucienne_A	Chatellussienne_N	Chatellussien_N	castellucien_A	Castellucienne_N
Bannalécois_N	Bannalécoise_N	bannalécois_A	Bannalec_X
Malbosc_X	Malbossarde_N	malbossarde_A	malbossard_A	Malbossard_N
Brasc_X	Brascoise_N	Brascois_N	brascoise_A	brascois_A
quevillonnais_A	quevillonnaise_A	Quevillon_X	Quevillonnaise_N	Quevillonnais_N
Chalancéenne_N	Chalancéen_N	chalancéen_A	Chalancey_X	chalancéenne_A
décapagefr_X	décapeusefr_X	décaper_V	décapeurfr_X
Mittelbergheimoise_N	Mittelbergheim_X	Mittelbergheimois_N	mittelbergheimois_A
fracturer_V	fracturation_N	surfracturer_V
Armaucourtois_N	Armaucourtoise_N	Armaucourt_X	armaucourtoise_A	armaucourtois_A
pleurodère_A	cryptodèrefr_X
wannehainois_A	wannehainoise_A	Wannehainois_N	Wannehainoise_N	Wannehain_X
moringhemois_A	Moringhemoise_N	moringhemoise_A	Moringhem_X	Moringhemois_N
Hutus_X	Hutu_X	hutu_A
lieusaintaise_A	lieusainais_X	Lieusaintais_N	Lieusainaise_X	Lieusainais_X	lieusainaise_X	Lieusaintaise_N	Lieusaint_X	lieusaintais_A
ostensible_X	ostensiblement_D
massoulessois_A	Massoulessoise_N	Massoulès_X	massoulessoise_A	Massoulessois_N
mathématisation_N	mathématisme_N	iatromathématicienfr_X	biomathématique_N	mathématiser_V	mathématisable_A	physicomathématique_X	mathématiques_N	mathématicienne_N	matheux_N	mathématique_A	mathématiquement_D	mathématicien_N	iatromathématique_A	métamathématique_N	maths_X
Reipertswilleroise_N	reipertswillerois_A	reipertswilleroise_A	Reipertswillerois_N	Reipertswiller_X
jazzologue_N	jazzologie_X
clairacais_A	Clairacaise_N	Clairac_X	clairacaise_A	Clairacais_N
Geishouse_X	geishousoise_A	geishousois_A	Geishousoise_N	Geishousois_N
hectométrique_A	hectomètre_N
Heudicourtoise_N	Heudicourt_X	Heudicourtois_N	heudicourtois_A	heudicourtoise_A
Fauvillaise_N	Fauville_X	fauvillaise_A	Fauvillais_N	fauvillais_A
Camoëlais_N	camoëlaise_A	camoëlais_A	Camoël_X	Camoëlaise_N
youtre_A	youtron_N	youtrerie_X
Cazalet_X	Cazalot_X
orsinvalois_A	Orsinvaloise_N	Orsinvalois_N	orsinvaloise_A	Orsinval_X
parachever_V	parachèvement_N
Châteaubourg_X	Châteaubourgeois_N	Castelbourgeois_N	Castelbourgeoise_N	Châteaubourgeoise_N	châteaubourgeois_A	châteaubourgeoise_A	castelbourgeoise_A	castelbourgeois_A
verdelotaise_A	Verdelot_X	Verdelotaise_N	verdelotais_A	Verdelotais_N
Poyartin_X	Poyartinois_N	poyartinois_A	Poyartinoise_N	poyartinoise_A
anatidés_N	anatidé_N
estreusien_A	Estreusien_N	estreusienne_A	Estreux_X	Estreusienne_N
chézellois_A	Casallienne_N	Chézelloise_N	Casallien_N	Chezelles_X	casallien_A	Chézellois_N
Agonésois_N	Agonésoise_N	agonésoise_A	Agonès_X	agonésois_A
allantoïdien_X	allantophore_A	allantoine_N	allantoidien_A	allantoïque_A	allantoïne_N	allantoïde_N	allantoate_X
sacristi_I	cristi_I
fayotter_V	fayoter_V	fayot_N	fayotage_N	refayoter_V
colubrin_A	couleuvre_N	couleuvreau_N	colubrine_X
bilatéral_A	bilatère_X	latéralité_N	unilatéraliste_X	latéralisation_N	unilatéral_A	bilatéralement_D	bilatéralisation_X	latéraliser_V	multilatéralismefr_X	multilatéraliser_V	bilatéralité_X	unilatéralisme_N	équilatéral_A	bilatéralismefr_X	controlatéral_A	dyslatéralisation_N	multilatéral_A	latéralement_D	bilatéraliser_V	multilatéralitéfr_X	latéral_A	homolatéral_A	latéralisateur_X	latérale_A
Onard_X	onardais_A	onardaise_A	Onardais_N	Onardaise_N
indisciplinable_A	indiscipline_N	indisciplinéfr_X	indisciplinerfr_X
oisiveté_N	oisif_A	oisivement_D
Mignovillard_X	mignovillageoise_A	Mignovillageoise_N	Mignovillageois_N	mignovillageois_A
mazer_V	mazéage_N	mazelle_N
Corbinusien_N	Corbenay_X	corbinusienne_A	corbinusien_A	Corbinusienne_N
barrancouaise_A	Barrancouais_N	barrancouais_A	Barrancoueu_X	Barrancouaise_N
bauptoise_X	Bauptoise_X	bauptois_X	Bauptois_X	Baupte_X
botheytois_A	Bothey_X	Botheytoise_N	Botheytois_N
Melayons_X	Melayonnes_X	Melay_X
ocquevillaise_A	Ocquevillais_N	Ocqueville_X	ocquevillais_A	Ocquevillaise_N
yébulien_A	Yébulienne_N	Ebulien_X	yébulienne_A	Yèbles_X	Yébulien_N	Ebulienne_X
investisseur_N	investir_X
paramilitarisme_N	paramilitaire_A
wépionnais_A	Wépionnais_N	Wépionnaise_N	Wépion_X
canotable_A	canotage_N	canot_N	canoter_V	canotier_X
Chenôvoise_N	Chenôves_X	chenôvois_A	Chenôvois_N	chenôvoise_A
Briantaise_N	briantaise_A	Briantais_N	briantais_A	Briantes_X
intransitivité_N	transitivité_N	transitif_X	transitivement_D	transitionnel_A	intransitif_A	transition_X
exincourtois_A	Exincourtois_N	Exincourt_X	exincourtoise_A	Exincourtoise_N
Peyraudine_N	Peyraudin_N	peyraudine_A	Peyraud_X	peyraudin_A
polémiquerfr_X	polémistefr_X	polémique_A	polémiserfr_X	polémogène_A
Roncourtoise_N	roncourtois_A	roncourtoise_A	Roncourtois_N	Roncourt_X
grêlon_N	grelet_A	grêle_A	grêler_V	grêlé_A	grelu_A
pâleur_N	pâlement_D	repâlir_V	pâlir_V	pâle_A	pâlissime_A
esquillositéfr_X	esquilleuxfr_X	esquilleux_A	esquille_N
Thivencelle_X	Thivencelloise_N	thivencellois_A	Thivencellois_N	thivencelloise_A
Trébeurdinaise_N	Trébeurdinais_N	trébeurdinais_A	Trébeurden_X	trébeurdinaise_A
morvellaise_A	Morvellais_N	Morvillars_X	Morvellaise_N	morvellais_A
Plouhatine_N	Plouha_X	plouhatin_A	Plouhatin_N
frontalier_A	frontière_N
Fétignois_N	fétignois_A	Fétigny_X	Fétignoise_N
Brens_X	bréniarde_A	Brensole_N	brensol_A	bréniard_A	Bréniarde_N	brensole_A	Brensol_N	Bréniard_N
tchatter_V	tchater_V	tchate_N
quittebeuvienne_A	Quittebeuf_X	Quittebeuvien_N	quittebeuvien_A	Quittebeuvienne_N
grimoire_N	grimer_V
bugne_N	bugner_X
biervillais_A	Bierville_X	biervillaise_A	Biervillaise_N	Biervillais_N
Fougères_X	Fougerais_N	fougerais_A	fougeraise_A	Fougeraise_N
infectieux_A	infectiosité_N	infectiologique_A	désinfectant_A	infection_N	désinfection_N	infectant_A	infectiologie_N	infectivité_X	infecter_V	infect_X	désinfecter_V	infectiologue_N	redésinfecter_V
Champolitaine_N	champolitain_A	Champoly_X	champolitaine_A	Champolitain_N
treffléanais_A	Treffléanais_N	treffléanaise_A	Treffléanaise_N	Treffléan_X
ceillaquin_A	Ceillac_X	Ceillaquin_N	Ceillaquine_N	ceillaquine_A
transbordement_N	transborder_V
louvencourtoise_A	Louvencourt_X	Louvencourtois_N	louvencourtois_A	Louvencourtoise_N
Sigalois_N	Sigale_X	sigalois_A	Sigaloise_N
Bouquehaultière_N	bouquehaultier_A	bouquehaultière_A	Bouquehault_X	Bouquehaultier_N
Lamargellois_N	lamargelloise_A	Lamargelloise_N	lamargellois_A	Lamargelle_X
donateur_N	codonateur_N	codonatrice_N
craventaise_A	craventais_A	Craventais_N	Cravent_X	Craventaise_N
Guibevilloise_N	guibevillois_A	guibevilloise_A	Guibeville_X	Guibevillois_N
scatologie_N	scatologique_A	scatologue_N
Barthe_X	Barthoise_N	barthoise_A	barthois_A	Barthois_N
ectotherme_N	ectothermie_N
Mozacoise_N	mozacoise_A	Mozac_X	Mozacois_N	mozacois_A
réhoboam_N	Réhoboam_X
extériorité_N	extérieurement_D	extérioriser_V
Paars_X	paaréen_A	Paaréenne_N	Paaréen_N	paaréenne_A
démophiliefr_X	démophile_N
Plainfaing_X	Plainfinois_N	plainfinoise_A	Plainfinoise_N	plainfinois_A
phototyper_V	phototypie_N
Vassel_X	Vasseloise_N	Vasselois_N	vasselois_A	vasseloise_A
chronophagement_D	chronophage_A
fraissois_A	Fraissois_N	Fraysse_X	Fraissoise_N	fraissoise_A	Fraisse_X
azurer_V	azurant_V	azuré_A	azurement_N	azurin_A	azuréen_A	azurage_N	azur_X
méprisé_V	mépris_N	méprise_N	méprisable_A	méprendre_V	mépriséfr_X	méprisant_A	méprisance_N	mépriseurfr_X	mépriser_V
salivant_A	salivaire_A	salivation_N	saliver_V	salive_N
polygame_A	polygamie_X
cassierfr_X	cassie_N
Lempdes_X	lempdais_A	Lempdaise_N	Lempdais_N
Plurien_X	pluriennaise_A	Pluriennais_N	pluriennais_A	Pluriennaise_N
dommage_N	endommagement_N
douillette_A	douillagefr_X	douilletter_V	douillet_A	douillonfr_X	douillard_A	douillettement_D	douilleuxfr_X
badenoise_A	Badenoise_N	badenois_A	Badenois_N	Badens_X
strident_X	strider_X	striduleux_A	stridence_X	strideur_N	stridor_X
Broquiésois_N	broquiésois_A	broquiésoise_A	Broquiès_X	Broquiésoise_N
Mauregalois_N	mauregaloise_A	Mauregard_X	mauregalois_A	Mauregaloise_N
Valadierfr_X	Valladierfr_X	Valade_X	Valadonfr_X
Créotien_N	Créotienne_N	créotien_A	créotienne_A	Créot_X
marionnettiser_V	marionnettisme_N	marionnettiste_N	marionnette_N	marionnettique_A
fluaté_A	fluate_N
écabocher_V	écabochage_N
lannécois_A	Lannéanou_X	Lannécoise_N	Lannécois_N	lannécoise_A
Pavillaise_N	Pavillais_N	Pavilly_X	pavillais_A	pavillaise_A
Drogenbosoise_N	Drogenbos_X	Drogenbosois_N	drogenbosois_A
isselaise_A	isselais_A	Issel_X	Isselais_N	Isselaise_N
Ormesson_X	ormessonnais_A	Ormessonnais_N	Ormessonnaise_N	ormessonnaise_A
Frépillonnaise_N	Frépillon_X	Frépillonnais_N	frépillonnais_A	frépillonnaise_A
podcaster_V	podcastable_A
gâter_V	gâterie_N
demandeur_N	demander_X
Sardon_X	sardonaise_A	Sardonais_N	Sardonaise_N	sardonais_A
Pargnantais_N	pargnantaise_A	Pargnantaise_N	pargnantais_A	Pargnan_X
Ontarien_N	Ontarois_N
désambiguation_N	ambigu_A	ambiguïté_N	ambiguïsation_X	désambiguïsation_N	ambiguïser_V	ambigüité_N	désambiguïser_V
avenheimois_X	Avenheimoise_X	Avenheim_X	Avenheimois_X
molambozienne_A	Molambozien_N	molambozien_A	Molambozienne_N	Molamboz_X
Balbronnaise_N	Balbronnais_N	Balbronn_X	balbronnais_A	balbronnaise_A
stickophilie_N	stickophile_X
cissoïdefr_X	cissoïdalfr_X	cisse_N	cissoïde_N
appellatiffr_X	compellatif_N
topographier_V	topographie_N	topographiquement_D	topographique_A
bordais_A	Bordaise_N	Bordes_X	Bordais_N	bordaise_A
Puisenvalaise_N	puisenvalaise_A	puisenvalais_A	Puisenval_X	Puisenvalais_N
Lyonnais_X	lyonnaiserie_N	lyonnais_A
méritocrate_A	méritocratie_N	méritocratique_A
Saramonais_N	saramonais_A	saramonaise_A	Saramon_X	Saramonaise_N
villeraine_X	Villarétois_N	Villeraine_X	villarétois_A	Villeroyen_N	Villarétoise_N	Villeroy_X	villeroyen_X	villarétoise_A	villerain_X	Villeroyenne_X	Villerain_N	villeroyenne_X
sire_X	monseigneur_X	messire_N	seigneur_X	missié_X	monsieur_N	Monsieur_X	sieur_N
Meyronnoise_N	Meyronnes_X	meyronnois_A	Meyronnois_N
navacellois_A	Navacelles_X	navacelloise_A	Navacellois_N	Navacelloise_N
Écomméenne_N	Écommoy_X	écomméen_A	Écomméen_N	écomméenne_A
Vigneullaise_N	Vigneulles_X	Vigneullais_N	vigneullaise_A	vigneullais_A
Vimenetien_N	Vimenetienne_N	Vimenet_X	vimenetienne_A	vimenetien_A
théorème_N	théoriquement_D	théore_N	théorique_A	théorie_N
Thérouannaise_N	Thérouanne_X	thérouannaise_A	thérouannais_A	Thérouannais_N
Ledinghémoise_N	ledinghémois_A	ledinghémoise_A	Ledinghem_X	Ledinghémois_N
Redortiérin_N	Redortiérine_N	redortiérine_A	redortiérin_A	Redortiers_X
Villedubert_X	villedubertaise_A	Villedubertaise_N	Villedubertais_N	villedubertais_A
reclosiot_A	Recloses_X	reclosiote_A	Reclosiote_N	Reclosiot_N
condomoise_A	Condomois_N	Condom_X	condomois_A	Condomoise_N
Busonne_N	buson_X	Bouy_X	Buson_N	busonne_A
Coulobraise_N	coulobraise_A	Coulobres_X	coulobrais_A	Coulobrais_N
bilurien_A	Bilurien_N	Bouloire_X	Bilurienne_N	bilurienne_A
dendrochronologique_A	dendrochronologue_N	dendrologue_N	dendrologique_A	dendrologie_N	dendrochronologiquement_D
impulsivement_D	impulsif_A
Montéglésienne_N	montéglésien_A	Montilliers_X	Montéglésien_N	montéglésienne_A
acignolaise_A	acignolais_A	Acigné_X	Acignolais_N	Acignolaise_N
Asnacussien_N	asnacussienne_A	Assenay_X	asnacussien_A	Asnacussienne_N
mazinghiennois_A	Mazinghiennois_N	Mazinghem_X	Mazinghiennoise_N	mazinghiennoise_A
Sabletain_N	sabletain_A	Sabletaine_N	Sablet_X	sabletaine_A
corbigeois_A	Corbigeois_N	corbigeoise_A	Corbigeoise_N	Corbigny_X
Escandoliéroise_N	Escandoliérois_N	escandoliérois_A	Escandolières_X	escandoliéroise_A
chapardeur_N	chaparder_V	chaparderie_X	chapardage_N
corneur_A	cornage_X
cazedarnaise_A	Cazedarnais_N	Cazedarnaise_N	Cazedarnes_X	cazedarnais_A
Éoux_X	Éouxien_N	éouxien_A	Éouxienne_N	éouxienne_A
iraquiser_V	iraquisation_X
sigoyarde_A	Sigoyer_X	Sigoyarde_N	sigoyard_A	Sigoyard_N
Christ_X	Christine_X	Christelle_N	Christiane_N	Christina_X
mérignisien_A	Mérignies_X	Mérignisienne_N	mérignisienne_A	Mérignisien_N
Rodome_X	Rodomoise_N	rodomoise_A	rodomois_A	Rodomois_N
Crœttwillerois_N	Crœttwilleroise_N	crœttwillerois_A	Crœttwiller_X	crœttwilleroise_A
collégiale_N	collégialité_N	collègue_N	collégialement_D	collégien_N	collégienne_N	collège_N	collégial_A
Popolasca_X	Popolascais_N	Popolascaise_N	popolascais_A	popolascaise_A
Domsure_X	domsuroise_A	Domsurois_N	domsurois_A	Domsuroise_N
Chassagnerot_N	chassagnerot_A	Chassagnerote_N	Chassagny_X
Vodeléenne_N	Vodeléen_N	vodeléen_A	Vodelée_X
tourtoire_N	tourterrièrefr_X
Jonquièrois_N	jonquièrois_A	jonquiéroise_A	jonquièroise_A	jonquiérois_A	Jonquiéroise_N	Jonquières_X	Jonquièroise_N	Jonquiérois_N
septantuple_N	septantuplement_X	septantupler_V
délistage_X	délister_V
Baas_X	néobaasiste_X	baasifier_X	baasiste_N	débaasifier_X	baasisme_N	néobaasisme_X	baasification_X	débaasification_X
Moblot_N	Mancenans_X	moblotte_A	moblot_N	Moblotte_N
rouméliote_X	Rouméliote_X	Roumélie_X
déblacklister_V	blacklister_V	déblacklistage_N	blacklistage_N	blacklist_N
thermostat_X	débit_N	thermométrie_N	devoir_V	dû_A	thermal_X	thermique_A	débitmètre_N	thermos_X	thermomètre_N	redevablefr_X	endettement_N	thermométrographe_N	thermométrique_A	débitif_A	débitstat_N	débiteur_N	thermes_N	surendetter_V	dette_X	débiter_V	surendettement_N	redevoir_V	redevancefr_X	endetter_V	hydrothermal_A	débitrice_N	hydrothermalisme_N	surendetté_V	thermalisme_N
graidois_A	Graidoise_N	Graidois_N	Graide_X
écotoxique_A	écotoxicologie_N	écotoxicité_N	écotoxicologue_N
Eychailaise_N	eychailaise_A	Eychailais_N	Eycheil_X	eychailais_A
germainvilloise_A	germainvillois_A	Germainville_X	Germainvilloise_N	Germainvillois_N
argovien_A	Argovie_X	Argovienne_X	Argovien_N
Daluisienne_N	daluisienne_A	Daluisien_N	daluisien_A	Daluis_X
numididés_N	numididé_N
Gabastonnaise_N	Gabastonnais_N	gabastonnais_A	gabastonnaise_A	Gabaston_X
bélestarien_A	bellocien_A	Réquistanais_N	Réquista_X	réquistanais_A	Bélestarienne_N	Réquistanaise_N	Bélestarien_N	réquistanaise_A	Bellocienne_N	Bélesta_X	Bellocien_N	Belloc_X
polémarchie_N	polémarque_N
cardaillacoise_A	Cardaillacoise_N	Cardaillacois_N	cardaillacois_A	Cardaillac_X
cytogénétique_N	cytogénéticien_N
Thouarsaise_N	Thouarcéfr_X	thouarsais_A	Toarcienfr_X	Thouarsais_N	Thouars_X
guide_X	reguiderfrreguider_X	téléguiderfrtéléguider_X	guider_V	guidonnage_N	guidage_N	optoguidage_N	autoguiderfrautoguider_X	téléguidage_N	guidance_X	télécommander_V	télécommande_N	radioguiderfrradioguider_X	guidon_N
aveizoise_A	aveizois_A	Aveizoise_N	Aveizois_N	Aveize_X
Corberon_X	corberonnaise_A	corberonnais_A	Corberonnais_N	Corberonnaise_N
connement_D	con_X
semiaquatique_A	semiaquacité_X	semiaquaticité_X	semiaqueux_A
Orval_N	Orvalienne_N	orvalien_A	Orvalien_N
procopernicien_A	Copernic_X	copernicien_A	copernicium_X
Merxheim_X	Merxheimoise_N	Merxheimois_N	merxheimois_A
proctologiefr_X	proctologue_N
lavannoise_A	Lavannes_X	Lavannois_N	Lavannoise_N	lavannois_A
Lanquesaintoise_N	Lanquesaintois_N	Lanquesaint_X	lanquesaintois_A
Rofessartois_N	rofessartois_A	Rofessartoise_N	Rofessart_X
cosplay_X	cosplayeur_N	cosplaying_X
réplique_N	autoréplication_N	répliqueur_N	réplication_N	réplicable_A	réplicabilité_N	réplicatif_A	autoréplicatif_A	autorépliquer_V	répliquer_V
Misséenne_N	misséenne_A	misséen_A	Missé_X	Misséen_N	Missy_X
seyressois_A	seyressoise_A	Seyresse_X	Seyressois_N	Seyressoise_N
Bogy_X	Bogycien_N	Bogycienne_N	bogycienne_A	bogycien_A
Dourges_X	Dourgeoise_N	dourgeois_A	Dourgeois_N	dourgeoise_A
Abzacois_N	abzacais_A	Abzac_X	abzacois_A	Abzacaise_N	Abzacais_N	Abzacoise_N	abzacoise_A	abzacaise_A
transamazonien_X	amazonien_A	Amazonien_N	Amazonienne_N	Transamazonienne_X	Amazonie_X
Nocé_X	nocéen_A	Nocéenne_N	Nocéen_N
Opheylissem_X	Opheylissemoise_N	opheylissemois_A	Opheylissemois_N
Brunembertois_N	Brunembert_X	brunembertoise_A	brunembertois_A	Brunembertoise_N
pugétaine_A	pugétain_A	Pugétaine_N	Puget_X	Pugétain_N
sablièroise_A	Sablièrois_N	Sablièroise_N	Sablières_X	sablièrois_A
envelopper_V	enveloppé_V	enveloppe_X	enveloppant_A	enveloppement_N
Autranais_N	Autranaise_N	Autrans_X	autranais_A
opinerfr_X	opinionner_V
Blesmoise_N	Blesme_X	Blesmois_N	blesmois_A	blesmoise_A
